Player,From,To,Price
Sergi Canós,Brentford,Valencia,€0.3M
Aleksandar Mitrović,Fulham,Al-Hilal,€52.6M
David Boateng,C. Palace,AFC Croydon Athletic,Free
Joe Oliver,Newcastle Utd.,Blyth Spartans AFC,Free
Lewis Richards,Wolverhampton,Bradford City,€35K
Roméo Lavia,Southampton,Chelsea,€62.1M
Wataru Endo,VfB Stuttgart,Liverpool,€20M
Arjan Raikhy,Aston Villa,Leicester,Free
Tom Davies,Everton,Sheff Utd,Free
Jake O'Brien,C. Palace,Lyon,€1M
Matej Kovar,Man Utd,Bayer 04,€5M
Billy Sharp,Sheff Utd,LA Galaxy,Free
Reece Hannam,C. Palace,Stevenage,Free
James Ward-Prowse,Southampton,West Ham United,€34.8M
Moisés Caicedo,Brighton,Chelsea,€116M
Armstrong Oko-Flex,West Ham United,Zurich,Free
Alex Oxlade-Chamberlain,Liverpool,Besiktas,Free
"Fred M,",Man Utd,Fenerbahce,€9.7M
Diego Costa,Wolverhampton,Botafogo,Free
Adama Traoré,Wolverhampton,Fulham,Free
Wilson Odobert,Troyes,Burnley,€12M
Harry Kane,Tottenham,Bayern,€95M
Gustavo Hamer,Coventry,Sheff Utd,€17.3M
Matt Burgess,B'mouth,Bognor Regis Town FC,Free
Noel Atom,RB Leipzig,Brighton,Free
Chermiti F,Sporting CP,Everton,€12.5M
Bryan Fiabema,Chelsea,Real Sociedad,Free
Todd Miller,Brighton,Bromley,Free
Max Aarons,Norwich,B'mouth,€8.1M
Jacob Brown,Stoke City,Luton,€2.9M
Ivan Cavaleiro,Fulham,Lille,Free
Edson Álvarez,Ajax,West Ham United,€38M
Alex Scott,Bristol City,B'mouth,€23M
Fraser Alexander,Ipswich Town,Bishop's Stortford FC,Free
Ross Barkley,Nice,Luton,Free
Vini Souza,Lommel United,Sheff Utd,€12.5M
Matt Turner,Arsenal,Nottingham,€8.2M
Sander Berge,Sheff Utd,Burnley,€13.9M
Joel Ideho,Arsenal,ADO Den Haag,Free
Michal Karbownik,Brighton,Hertha BSC,€2.5M
Nikola Vlašić,West Ham United,Torino,€10.6M
Micky van,VfL Wolfsburg,Tottenham,€40M
Alejo Veliz,Rosario,Tottenham,€15M
Tino Livramento,Southampton,Newcastle Utd.,€37.2M
Zach Awe,Arsenal,Southampton,Free
Luka Milivojevic,C. Palace,Shabab Al Ahli,Free
Brooklyn Genesini,B'mouth,Swindon Town,Free
Joe Lumley,Middlesbrough,Southampton,Free
Ainsley Maitland-Niles,Arsenal,Lyon,Free
Gianluca Scamacca,West Ham United,Atalanta,€25.6M
Henry Lawrence,Chelsea,Standard,Free
Robert Sánchez,Brighton,Chelsea,€23M
Yerry Mina,Everton,Fiorentina,Free
Ashley Phillips,Blackburn,Tottenham,€2.3M
Matheus França,Flamengo,C. Palace,€20M
Rasmus Højlund,Atalanta,Man Utd,€73.9M
Josko Gvardiol,RB Leipzig,Man City,€90M
Harvey Woods,Southampton,FC Melksham Town,Free
Casey Pettit,Luton,Maidenhead United,Free
Axel Disasi,Monaco,Chelsea,€45M
Brooklyn Kabongolo,Ipswich Town,Billericay Town,Free
Oludare Olufunwa,Liverpool,St. Johnstone,Free
Jack Hodnett,Wolverhampton,Shifnal Town,Free
Sam Bentley,Luton,St. Albans City,Free
Carlos Forbs,Man City,Ajax,€14M
Matija Šarkić,Wolverhampton,Millwall,€1.4M
Auston Trusty,Arsenal,Sheff Utd,€5.8M
Thomas Kaminski,Blackburn,Luton,€2.9M
Sam McClelland,Chelsea,St. Johnstone,Free
Lee Harkin,Wolverhampton,Coleraine,Free
Aaron Connolly,Brighton,Hull City,€1.4M
Aaron Pressley,Brentford,Stevenage,Free
Manuel Lanzini,West Ham United,River Plate,Free
Lucas Moura,Tottenham,Sao Paulo,Free
Billy Fewster,Nottingham,Alfreton Town,Free
Lewis Ridd,Ipswich Town,Derby,Free
Freddie Bell,C. Palace,Penn State Nittany Lions,Free
Harrison Parker,Man Utd,Man City,€0.8M
Marqes Muir,Tottenham,Kentucky Wildcats (University of Kentucky),Free
Braian Ojeda,Nottingham,Salt Lake,€3.6M
Chris Francis,B'mouth,C. Palace,Free
Iliman Ndiaye,Sheff Utd,Marseille,€17M
Luke Matheson,Wolverhampton,Bolton Wanderers,Free
Mohammed Salisu,Southampton,Monaco,€15M
Lesley Ugochukwu,Stade Rennais,Chelsea,€27M
Jack Colback,Nottingham,QPR,Free
Callum Nicolson,Luton,AFC Dunstable,Free
Tom Smith,Arsenal,Colchester,Free
Ackeme Francis-Burrell,Wolverhampton,Stockport,Free
Di'Shon Bernard,Man Utd,Sheff Wed,Free
"Fabinho DM,",Liverpool,Al-Ittihad,€46.7M
Stephy Mavididi,Montpellier,Leicester,€7.5M
Conor Lawless,Luton,Dagenham,Free
Allan Saint-Maximin,Newcastle Utd.,Al Ahli,€27.2M
Matthew Vigor,C. Palace,Cray Valley Paper Mills,Free
Karl Darlow,Newcastle Utd.,Leeds United,€0.4M
Ryan Giles,Wolverhampton,Luton,€5.9M
Wesley Moraes,Aston Villa,Stoke City,Free
Calvin Bassey,Ajax,Fulham,€22.5M
Riyad Mahrez,Man City,Al Ahli,€35M
Fynn Talley,Brighton,Peterborough,Free
Christos Kalogerakis,Chelsea,Anderlecht,Free
Sami Tlemcani,Chelsea,AEK,Free
Jordan Henderson,Liverpool,Al-Ettifaq,€14M
Mohamed Elyounoussi,Southampton,Kobenhavn,Free
Igor D,Fiorentina,Brighton,€16.2M
Adedire Mebude,Man City,Westerlo,€1.8M
Matt Hall,Southampton,Bristol Rovers,Free
Sam Surridge,Nottingham,Nashville SC,€5.8M
Raúl Jiménez,Wolverhampton,Fulham,€6.4M
Luca Koleosho,Espanyol,Burnley,€3M
Anthony Elanga,Man Utd,Nottingham,€17.5M
Taylor Perry,Wolverhampton,Shrewsbury Town,Free
Carlos Mendes,Luton,Bolton Wanderers,€0.3M
Wilfried Zaha,C. Palace,Galatasaray,Free
Harvey Barnes,Leicester,Newcastle Utd.,€44M
Alex Telles,Man Utd,Al-Nassr,€4.6M
Bobby Thomas,Burnley,Coventry,€2.3M
Moussa Diaby,Bayer 04,Aston Villa,€55M
Ola Aina,Torino,Nottingham,Free
Reda Khadra,Brighton,Reims,€1.9M
Joe Pigott,Ipswich Town,Leyton Orient,Free
Laurence Shala,C. Palace,Wycombe,Free
Nathan Redmond,Besiktas,Burnley,Free
Pierre-Emerick Aubameyang,Chelsea,Marseille,Free
Daniel Amartey,Leicester,Besiktas,Free
Harley Curtis,Ipswich Town,Chesterfield,Free
Björn Hardley,Man Utd,Utrecht,Free
Matt Doherty,Atlético,Wolverhampton,Free
James Trafford,Man City,Burnley,€17.3M
André Onana,Inter,Man Utd,€50.2M
Marvelous Nakamba,Aston Villa,Luton,€2.9M
Milos Kerkez,AZ,B'mouth,€17.9M
Zeki Amdouni,Basel,Burnley,€18.6M
Ethan Ampadu,Chelsea,Leeds United,€8.1M
Benjamin Mendy,Man City,Lorient,Free
Bénie Traoré,Hacken,Sheff Utd,€4.6M
Jonny Evans,Leicester,Man Utd,Free
Mads Hermansen,Brondby,Leicester,€7.7M
Asmir Begovic,Everton,QPR,Free
Mads Bidstrup,Brentford,RB Salzburg,€6M
Thanawat Suengchitthawon,Leicester,Muangthong (SCG) United,Free
Mipo Odubeko,West Ham United,Maritimo,Free
Matthew Healy,Ipswich Town,Boussu,Free
Iwan Roberts,Liverpool,Bala,Free
Dion Sanderson,Wolverhampton,Birmingham City,€2.3M
Halil Dervişoğlu,Brentford,Galatasaray,€0.5M
Declan Rice,West Ham United,Arsenal,€116.6M
Jack Bearne,Liverpool,Greenock,Free
Deji Sotona,Burnley,Doncaster Rovers,Free
Yangel Herrera,Man City,Girona,€5M
Jurrien Timber,Ajax,Arsenal,€40M
Tahith Chong,Birmingham City,Luton,€4.7M
Nathan James,Burnley,Barnsley,Free
Joel Valencia,Brentford,Zaglebie,Free
Ben Wilson,Brighton,Cliftonville,Free
Kane Vincent-Young,Ipswich Town,Wycombe,Free
Anis Slimane,Brondby,Sheff Utd,€2.7M
George Hirst,Leicester,Ipswich Town,€1.8M
Romain Faivre,Lyon,B'mouth,€15M
Christian Pulišić,Chelsea,Milan,€20M
Ashley Young,Aston Villa,Everton,Free
Jordan Smith,Nottingham,Stockport,Free
Josh Swan,Luton,Newport Pagnell Town FC,Free
Pau Torres,Villarreal,Aston Villa,€33M
Shea Charles,Man City,Southampton,€12.3M
Junior Dixon,C. Palace,Birmingham City,Free
Ryan Manning,Swansea,Southampton,Free
Manor Solomon,Shakhtar D.,Tottenham,Free
Abdul Rahman,Chelsea,PAOK,Free
Ishé Samuels-Smith,Everton,Chelsea,€4.7M
Ben Pearson,B'mouth,Stoke City,€1.5M
Neeskens Kebano,Fulham,Al-Jazira,Free
"Cafú M,",Nottingham,Rotherham,Free
Lorent Tolaj,Brighton,Aldershot Town,Free
Charlie Wilson,Everton,Norwich,Free
Ryan Bartley,C. Palace,Derby,Free
Morgan Rogers,Man City,Middlesbrough,€1.2M
Ellis Simms,Everton,Coventry,€7M
Hayao Kawabe,Wolverhampton,Standard,€1.5M
Sonny Bradley,Luton,Derby,Free
Pontus Jansson,Brentford,Malmo,Free
Elijah Gift,Liverpool,Athletic,€0.8M
Freddie Cook,Leicester,Cardiff City,Free
Josh McNamara,Man City,Southampton,Free
César Azpilicueta,Chelsea,Atlético,Free
Granit Xhaka,Arsenal,Bayer 04,€15M
Ayoze Pérez,Leicester,Real Betis,Free
Mason Mount,Chelsea,Man Utd,€64.2M
Çağlar Söyüncü,Leicester,Atlético,Free
Enda Stevens,Sheff Utd,Stoke City,Free
Derrick Abu,Chelsea,Southampton,Free
Maliq Cadogan,C. Palace,Swansea,Free
Alex Gilbert,Brentford,Middlesbrough,Free
Roberto Firmino,Liverpool,Al Ahli,Free
Nathan Collins,Wolverhampton,Brentford,€26.9M
Richard Keogh,Ipswich Town,Wycombe,Free
Bart Verbruggen,Anderlecht,Brighton,€20M
Rico Richards,West Bromwich,Aston Villa,Free
Sandro Tonali,Milan,Newcastle Utd.,€64M
Lewis Gibson,Everton,Plymouth,Free
Theo Williams,Sheff Utd,Fleetwood,Free
