name,numberOfPlayer,Poss,age,matches_played,starts,minutes,non_penalty_goals,penalty_goals,assists,yellow_cards,red_cards,xG,npxG,xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,GK_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Pass_Cmp_outcome,Pass_Off,Pass_Blocks,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live_Touches,Take_Att,Take_Succ,Take_Succ%,Take_Tkld,Take_Tkld%,Carries,Carries_TotDist,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Liverpool,30,61.3,26.3,38,418.0,3420.0,74.0,6.0,60.0,69.0,5.0,87.8,80.4,63.7,924.0,2110.0,N/a,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,41.0,1.08,147.0,108.0,72.8,24.0,10.0,4.0,10.0,26.3,1.0,1.0,0.0,0.0,0.0,80,781,263.0,33.7,20.55,6.92,0.09,0.28,17.2,18.0,6.0,9.0,87.8,80.4,0.11,-7.8,-6.4,20376,24379,83.6,346550.0,118702.0,9656.0,10641.0,90.7,8627.0,9763.0,88.4,1637.0,2814.0,58.2,60.0,63.7,55.6,-3.7,598.0,1666.0,506.0,80.0,2110.0,22490,1789.0,440.0,102.0,145.0,817.0,755.0,287.0,20376.0,100.0,371.0,677,418,274.0,290.0,113.0,341.0,768.0,44.4,427.0,28764,2193.0,7390.0,13756.0,7869.0,1422.0,28755.0,737.0,331.0,44.9,331.0,44.9,17894.0,92424.0,48244.0,924.0,694.0,295.0,574.0,407.0,463.0,376.0,100.0,817.0,2.0,2034.0,583.0,441.0,56.9
Luton Town,28,42.4,26.7,38,418.0,3420.0,44.0,5.0,33.0,71.0,0.0,42.4,38.6,29.5,675.0,1113.0,N/a,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,85.0,2.24,223.0,142.0,63.7,6.0,8.0,24.0,2.0,5.3,4.0,4.0,0.0,0.0,0.0,49,427,134.0,31.4,11.24,3.53,0.1,0.33,16.3,11.0,5.0,5.0,42.4,38.6,0.09,6.6,5.4,11048,15099,73.2,201475.0,81352.0,4969.0,5784.0,85.9,4443.0,5431.0,81.8,1289.0,2879.0,44.8,33.0,29.5,27.5,3.5,315.0,835.0,250.0,90.0,1113.0,13156,1876.0,498.0,22.0,111.0,841.0,703.0,203.0,11048.0,67.0,413.0,654,368,330.0,236.0,88.0,299.0,616.0,48.5,317.0,19656,2630.0,7028.0,7906.0,4964.0,780.0,19651.0,771.0,354.0,45.9,331.0,42.9,10070.0,59990.0,29813.0,675.0,480.0,169.0,580.0,385.0,443.0,448.0,67.0,841.0,4.0,1868.0,635.0,631.0,50.2
Manchester City,25,65.2,26.6,38,418.0,3420.0,85.0,9.0,69.0,53.0,2.0,80.5,72.9,60.2,1127.0,2060.0,N/a,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5,34.0,0.89,109.0,76.0,71.6,28.0,7.0,3.0,13.0,34.2,3.0,3.0,0.0,0.0,0.0,94,683,264.0,38.7,17.97,6.95,0.12,0.32,17.1,25.0,9.0,10.0,80.5,72.9,0.11,13.5,12.1,24616,27758,88.7,394064.0,112270.0,12895.0,13721.0,94.0,9449.0,10306.0,91.7,1652.0,2498.0,66.1,69.0,60.2,62.1,8.8,545.0,1890.0,484.0,65.0,2060.0,26136,1580.0,460.0,85.0,133.0,700.0,604.0,286.0,24616.0,42.0,383.0,517,305,183.0,221.0,113.0,222.0,458.0,48.5,236.0,31414,2162.0,7012.0,14348.0,10260.0,1466.0,31404.0,731.0,377.0,51.6,282.0,38.6,20210.0,105397.0,58071.0,1127.0,867.0,415.0,441.0,356.0,289.0,410.0,42.0,700.0,1.0,1734.0,325.0,288.0,53.0
Manchester Utd,31,50.6,26.1,38,418.0,3420.0,51.0,6.0,36.0,83.0,1.0,56.5,51.0,40.1,759.0,1479.0,N/a,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,58.0,1.53,203.0,146.0,74.9,18.0,6.0,14.0,9.0,23.7,7.0,7.0,0.0,0.0,0.0,57,543,182.0,33.5,14.29,4.79,0.09,0.28,17.4,15.0,6.0,7.0,56.5,51.0,0.1,0.5,0.0,15785,19538,80.8,260507.0,91226.0,7892.0,8866.0,89.0,5965.0,6943.0,85.9,1355.0,2517.0,53.8,36.0,40.1,34.6,-4.1,434.0,1202.0,338.0,50.0,1479.0,17784,1663.0,371.0,73.0,99.0,594.0,643.0,224.0,15785.0,91.0,372.0,676,409,334.0,240.0,102.0,349.0,715.0,48.8,366.0,23997,2938.0,8197.0,9856.0,6145.0,1025.0,23990.0,697.0,311.0,44.6,303.0,43.5,13976.0,75395.0,39607.0,759.0,523.0,275.0,484.0,342.0,401.0,340.0,91.0,594.0,1.0,1851.0,436.0,450.0,49.2
Newcastle Utd,32,52.2,27.2,38,418.0,3420.0,75.0,8.0,55.0,79.0,1.0,76.0,69.0,51.3,737.0,1557.0,N/a,2.18,1.45,3.63,1.97,3.42,2.0,1.35,3.35,1.82,3.17,62.0,1.63,195.0,133.0,70.3,18.0,6.0,14.0,10.0,26.3,5.0,4.0,1.0,0.0,20.0,83,542,196.0,36.2,14.26,5.16,0.14,0.38,15.7,9.0,8.0,9.0,76.0,69.0,0.13,7.0,6.0,16117,19852,81.2,274265.0,96401.0,7681.0,8623.0,89.1,6722.0,7757.0,86.7,1358.0,2504.0,54.2,55.0,51.3,43.5,3.7,424.0,1107.0,380.0,76.0,1557.0,18026,1767.0,515.0,85.0,133.0,648.0,679.0,192.0,16117.0,59.0,364.0,661,391,316.0,254.0,91.0,302.0,681.0,44.3,379.0,24004,2447.0,8084.0,10144.0,6004.0,1094.0,23996.0,730.0,355.0,48.6,288.0,39.5,13649.0,73443.0,36585.0,737.0,507.0,243.0,506.0,400.0,386.0,469.0,59.0,648.0,1.0,1836.0,453.0,418.0,52.0
Nott'ham Forest,33,40.6,25.7,38,418.0,3420.0,48.0,1.0,43.0,82.0,3.0,49.9,49.1,38.0,604.0,1140.0,N/a,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29,67.0,1.76,163.0,98.0,61.3,9.0,9.0,20.0,4.0,10.5,4.0,4.0,0.0,0.0,0.0,49,450,143.0,31.8,11.84,3.76,0.11,0.34,17.2,7.0,1.0,1.0,49.9,49.1,0.11,-0.9,-1.1,11873,15673,75.8,209938.0,83047.0,5506.0,6412.0,85.9,4763.0,5857.0,81.3,1262.0,2490.0,50.7,43.0,38.0,27.9,5.0,325.0,905.0,244.0,61.0,1140.0,13969,1627.0,409.0,53.0,83.0,595.0,661.0,148.0,11873.0,77.0,315.0,728,429,437.0,219.0,72.0,325.0,607.0,53.5,282.0,20118,2495.0,7340.0,8310.0,4686.0,785.0,20117.0,603.0,275.0,45.6,268.0,44.4,10216.0,54782.0,29231.0,604.0,396.0,156.0,527.0,286.0,428.0,371.0,77.0,595.0,2.0,1807.0,583.0,556.0,51.2
Sheffield Utd,35,35.8,25.7,38,418.0,3420.0,26.0,5.0,18.0,101.0,5.0,38.3,34.4,25.8,343.0,884.0,N/a,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.58,104.0,2.74,263.0,166.0,62.4,3.0,7.0,28.0,1.0,2.6,7.0,5.0,0.0,2.0,0.0,31,360,117.0,32.5,9.47,3.08,0.07,0.22,17.4,8.0,5.0,5.0,38.3,34.4,0.1,-7.3,-8.4,9521,13498,70.5,169803.0,71320.0,4486.0,5347.0,83.9,3733.0,4691.0,79.6,1044.0,2630.0,39.7,18.0,25.8,21.0,-7.8,257.0,701.0,198.0,48.0,884.0,11753,1681.0,380.0,25.0,52.0,428.0,666.0,141.0,9521.0,64.0,321.0,709,405,375.0,248.0,86.0,299.0,635.0,47.1,336.0,17940,2814.0,7150.0,7140.0,3830.0,646.0,17935.0,578.0,250.0,43.3,285.0,49.3,8313.0,43259.0,20339.0,343.0,287.0,127.0,489.0,323.0,423.0,318.0,64.0,428.0,7.0,1638.0,585.0,693.0,45.8
Tottenham,29,61.6,25.2,38,418.0,3420.0,67.0,2.0,58.0,92.0,4.0,68.2,66.7,57.4,957.0,2107.0,N/a,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27,61.0,1.61,167.0,109.0,67.7,20.0,6.0,12.0,7.0,18.4,7.0,7.0,0.0,0.0,0.0,69,582,207.0,35.6,15.32,5.45,0.12,0.32,16.5,11.0,2.0,2.0,68.2,66.7,0.12,0.8,0.3,20649,24197,85.3,326221.0,111380.0,10630.0,11617.0,91.5,8361.0,9345.0,89.5,1089.0,1905.0,57.2,58.0,57.4,52.1,0.6,460.0,1588.0,454.0,65.0,2107.0,22167,1947.0,636.0,91.0,59.0,710.0,723.0,234.0,20649.0,83.0,480.0,724,451,335.0,264.0,125.0,360.0,691.0,52.1,331.0,28529,2791.0,8519.0,12260.0,8011.0,1316.0,28527.0,812.0,359.0,44.2,363.0,44.7,18081.0,92767.0,46593.0,957.0,634.0,349.0,559.0,375.0,425.0,510.0,83.0,710.0,3.0,1907.0,359.0,388.0,48.1
West Ham,26,41.1,28.3,38,418.0,3420.0,54.0,4.0,40.0,82.0,3.0,52.3,48.4,34.8,556.0,1207.0,N/a,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,74.0,1.95,241.0,169.0,72.6,14.0,10.0,14.0,5.0,13.2,10.0,8.0,2.0,0.0,20.0,58,445,146.0,32.8,11.71,3.84,0.12,0.37,16.2,17.0,4.0,5.0,52.3,48.4,0.11,5.7,5.6,12568,16373,76.8,219336.0,85575.0,6043.0,6856.0,88.1,4817.0,5751.0,83.8,1330.0,2718.0,48.9,40.0,34.8,30.8,5.2,305.0,979.0,225.0,71.0,1207.0,14568,1734.0,429.0,60.0,158.0,661.0,721.0,165.0,12568.0,71.0,411.0,684,426,350.0,254.0,80.0,307.0,607.0,50.6,300.0,20875,2605.0,7301.0,9100.0,4692.0,750.0,20869.0,745.0,353.0,47.4,321.0,43.1,11184.0,60658.0,28802.0,556.0,369.0,168.0,515.0,397.0,390.0,392.0,71.0,661.0,4.0,1817.0,576.0,570.0,50.3
Wolves,27,48.9,26.6,38,418.0,3420.0,43.0,4.0,36.0,102.0,4.0,46.7,43.6,31.8,671.0,1180.0,N/a,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,65.0,1.71,203.0,139.0,71.9,13.0,7.0,18.0,5.0,13.2,8.0,8.0,0.0,0.0,0.0,47,425,153.0,36.0,11.18,4.03,0.1,0.28,16.7,12.0,4.0,4.0,46.7,43.6,0.11,0.3,-0.6,15484,19175,80.8,255933.0,84649.0,7694.0,8577.0,89.7,6100.0,7016.0,86.9,1218.0,2527.0,48.2,36.0,31.8,27.6,4.2,316.0,910.0,239.0,61.0,1180.0,17409,1688.0,439.0,49.0,125.0,578.0,684.0,156.0,15484.0,78.0,333.0,739,430,415.0,247.0,77.0,312.0,607.0,51.4,295.0,23485,2823.0,8674.0,10262.0,4804.0,739.0,23481.0,823.0,415.0,50.4,324.0,39.4,13056.0,71348.0,36731.0,671.0,519.0,168.0,536.0,389.0,476.0,405.0,78.0,578.0,1.0,1885.0,441.0,491.0,47.3
